Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
01-Jul-2002,10.7,3.4,5.4,8.3,5.4,4.8,7.5,5.2,.4,0,,4
02-Jul-2002,10.5,3.9,4.7,6.7,5,4.4,6.4,5,2.2,0,,4
03-Jul-2002,11,3,4.6,8.4,5.3,4.4,8.2,5.1,2.5,9.4,,2
04-Jul-2002,10.5,4,6.8,7.4,6.8,4.4,7.3,6.8,3.1,.6,,4
05-Jul-2002,9.2,5,5.2,7.2,6,5,7.2,6,20,3.2,,
06-Jul-2002,14,4.5,7.6,10.4,5.4,1.6,10,5.2,.3,0,,20
07-Jul-2002,9.6,4.2,5,8.2,6,4.8,7.4,5.6,.2,1,,2
08-Jul-2002,9.5,3.5,5,7.8,5.4,4.8,7.8,5.2,.2,6.2,,2
09-Jul-2002,12,6.5,6.4,7.6,6,4.9,7.6,6,0,0,,2
10-Jul-2002,9,5,6.2,7.8,5,5.8,7.8,4.8,20,0,,2
11-Jul-2002,11.5,3,5.4,8,6.4,4.8,8,7,0,1.8,,
12-Jul-2002,12,3,4.6,8.6,5.8,2.8,8,5.4,0,0,,2
13-Jul-2002,11,2.5,3.8,9.6,5.6,3.8,8.4,5.4,1,1.5,,4
14-Jul-2002,12.5,4,5.6,11.6,6.6,5.2,9.8,6.2,0,0,,4
15-Jul-2002,10.3,7.5,7.1,9.2,6.5,4.2,9.1,6.3,0,0,,2
16-Jul-2002,12.5,3,6.2,8,4.8,6.2,8,4.8,0,0,,4
17-Jul-2002,9.3,2,4.8,5.6,4.8,4.6,5.6,4.4,4.5,2.1,,4
18-Jul-2002,10,3,3.6,8.1,5.5,3.4,7,5.4,.1,2.3,,1
19-Jul-2002,9.5,3.1,3.9,6.6,4.6,3.8,6.4,4.4,6.5,0,,2
20-Jul-2002,15,3,7,12.6,6.6,3.2,10.8,6.4,0,0,,2
21-Jul-2002,17.2,5,7.5,15.2,6.8,1.6,12.3,5.6,0,0,,3
22-Jul-2002,12,9.5,9.4,8.6,7.2,8.2,8.6,7,0,0,,6
23-Jul-2002,14,2,5.4,10.8,7,5.6,9.8,6.8,0,0,,2
24-Jul-2002,13,3.5,4.3,11.2,7.4,3.6,10,7,0,0,,6
25-Jul-2002,12.5,4.5,8.4,9.9,6.2,7.6,9.4,6,0,0,,4
26-Jul-2002,10.2,2.5,4.3,6.9,5.4,4,6.8,5.6,12.1,0,,4
27-Jul-2002,11,4,5.8,8.4,4.9,5.4,7.6,4.1,.4,0,,6
28-Jul-2002,11.2,2.5,3,7.4,5.2,3,7.1,5,3,4,,2
29-Jul-2002,11.7,2.9,5,8.9,6.2,4.4,8.4,6.1,0,.1,,4
30-Jul-2002,12.2,3,4,8.3,6.6,3.6,7.6,6.4,.2,0,,2
31-Jul-2002,14,2.5,8.3,12.4,7,6,10.6,6.7,0,1.6,,5
Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
01-Ago-2002,10.5,4.1,5.6,7.2,6.9,5.4,6.5,6.3,3.4,.5,,3
02-Ago-2002,10.5,3.2,4.8,7.8,5.4,4.6,7.6,4.4,0,2.1,,3
03-Ago-2002,13.5,3,6.2,11.6,6.9,4.9,9.6,5.9,0,0,,4
04-Ago-2002,15.5,3.5,5.4,13.4,7,4.6,10.4,7.1,0,0,,6
05-Ago-2002,13,3.6,5.2,9.6,6.9,5,9,6.8,0,0,,2
06-Ago-2002,12.6,3,4.6,10.2,6.4,4.4,8.6,5.6,0,0,,2
07-Ago-2002,14,2.1,5.4,12.4,6.2,4.8,10,5.8,0,0,,4
08-Ago-2002,14.5,2.5,6.8,13.8,6.1,5.9,10,5.2,0,0,,6
09-Ago-2002,12.8,5.3,6.4,7.4,3.2,5.9,7.2,2.8,0,3.8,,6
10-Ago-2002,12.5,2.5,5.7,11.2,5.6,4.9,9.6,4.4,0,0,,4
11-Ago-2002,12.9,2.3,5,11.8,8.7,4.4,10.5,6.4,0,0,,
12-Ago-2002,11.2,2,5.9,10.5,7.4,4,9.5,6.8,0,0,,4
13-Ago-2002,13.3,2.5,4.6,12.4,7.3,3.4,10.2,7.2,0,0,,2
14-Ago-2002,15.6,3,6.4,11,5.3,5,10.2,5.2,0,4.5,,4
15-Ago-2002,11.1,3.6,4.4,7.3,5.4,4.1,7,4.9,0,0,,6
16-Ago-2002,10.1,4.1,6.2,8.3,6.6,5.3,7,6.4,0,0,,2
17-Ago-2002,11.6,5.2,5.9,5.4,5,5.8,5.5,4.9,.4,7.7,,6
18-Ago-2002,11.1,3.7,6.6,7.4,6.3,5,7.2,6.2,0,6.6,,
