Día/mes/año,Temperatura (°c),Humedad (%),Lluvia (mm),Presion (mb),VelocidaddelViento (m/s),DirecciondelViento
Prom,Max,Min
28-Jun-2015,22.2,22.4,22,98,0,991.7,.03,313
Día/mes/año,Temperatura (°c),Humedad (%),Lluvia (mm),Presion (mb),VelocidaddelViento (m/s),DirecciondelViento
Prom,Max,Min
02-Jul-2015,25.16,28.6,22.9,92.33,3,988.52,.17,10
03-Jul-2015,24.86,28.6,22.6,94.25,2.2,987.4,.19,15
04-Jul-2015,20.15,23.8,16.6,98.13,58.1,991.26,.46,164
05-Jul-2015,17.62,19.6,15.9,95.5,0,993.57,.28,4
06-Jul-2015,20.83,26.2,17.8,92.38,0,990.2,.22,351
07-Jul-2015,23.19,29.7,18.7,90.42,6.8,988.6,.24,36
08-Jul-2015,21,22.7,19.5,97.08,11.1,991.19,.37,159
09-Jul-2015,20.86,23.7,18.6,94.33,1,990.91,.14,163
10-Jul-2015,23.03,26.7,20.9,94.17,0,990.45,.13,2
11-Jul-2015,21.97,22.3,21.3,98.89,0,990.58,.04,34
13-Jul-2015,24.84,30.3,22.1,91.54,.9,987.04,.2,301
14-Jul-2015,25.35,31,22.5,89,0,987.3,.22,30
15-Jul-2015,25.74,31.4,21.7,86.17,0,989.56,.23,50
16-Jul-2015,20.82,23.2,19,89.96,.2,993.46,.37,28
17-Jul-2015,20.61,22,19.4,94.5,0,993.89,.19,160
18-Jul-2015,22.07,26.3,20.4,92.5,0,992.83,.23,3
19-Jul-2015,22.71,27.4,19.2,90.5,0,990.89,.17,230
20-Jul-2015,24.2,30.5,20,87.79,0,989.89,.2,13
21-Jul-2015,22.59,26.1,18,87.38,0,992.58,.33,157
22-Jul-2015,19.95,24.9,16.4,84.54,0,993.71,.22,30
23-Jul-2015,22.28,28.8,17.6,89,0,992.48,.14,3
24-Jul-2015,23.3,27.1,21.2,88.67,0,993.5,.3,172
25-Jul-2015,22.61,26.4,20.3,88.17,0,993.05,.19,168
26-Jul-2015,23.23,28.8,19.3,87.83,0,990.95,.17,191
27-Jul-2015,23.91,30,19.9,88.79,0,989.31,.13,1
28-Jul-2015,24.48,31.1,20.5,88.5,0,988.88,.16,210
29-Jul-2015,24.81,31.4,20.6,88.13,0,990.08,.14,33
30-Jul-2015,25.4,32.4,21.1,86.04,0,990.71,.19,334
31-Jul-2015,25.01,30.9,21.1,88.58,0,989.58,.19,354
Día/mes/año,Temperatura (°c),Humedad (%),Lluvia (mm),Presion (mb),VelocidaddelViento (m/s),DirecciondelViento
Prom,Max,Min
01-Ago-2015,25.18,32.2,20.9,85.96,0,989.09,.16,345
02-Ago-2015,25.54,32.1,21,86.25,0,987.42,.17,335
03-Ago-2015,26.6,32.3,23.4,85.29,0,987.8,.19,6
04-Ago-2015,26.45,32.5,22.7,86.04,0,989.12,.18,357
05-Ago-2015,26.67,32.1,23.6,87.04,.1,988.48,.23,305
06-Ago-2015,26.8,31.7,23.2,87.13,0,986.31,.19,329
07-Ago-2015,26.95,32.9,23.3,86.17,0,985.8,.2,280
08-Ago-2015,27.1,32.8,23.5,85.38,0,985.97,.27,263
09-Ago-2015,23.13,25.3,21.2,94.13,18.3,986.96,.48,176
10-Ago-2015,21.17,22.6,19.8,96.92,36.9,989.71,.24,6
11-Ago-2015,21.53,24,20.2,96.54,4.1,990.4,.19,337
12-Ago-2015,24.19,29.5,20.9,91.5,0,990.2,.23,50
13-Ago-2015,24,25.6,22.7,95.54,.4,990.75,.09,3
14-Ago-2015,25.47,31.5,22.8,87.5,0,990.55,.21,179
15-Ago-2015,25.51,31.3,21.8,87.42,0,989.26,.16,314
16-Ago-2015,25.68,30.7,22.6,90.63,7.9,988.8,.17,338
